sample_id,cluster
TCGA.02.0001,2
TCGA.02.0003,1
TCGA.02.0006,1
TCGA.02.0007,2
TCGA.02.0009,1
TCGA.02.0010,2
TCGA.02.0011,2
TCGA.02.0014,2
TCGA.02.0021,1
TCGA.02.0024,3
TCGA.02.0027,2
TCGA.02.0028,2
TCGA.02.0033,2
TCGA.02.0034,2
TCGA.02.0037,1
TCGA.02.0038,1
TCGA.02.0043,1
TCGA.02.0046,1
TCGA.02.0047,2
TCGA.02.0052,2
TCGA.02.0054,2
TCGA.02.0055,2
TCGA.02.0057,2
TCGA.02.0058,2
TCGA.02.0060,3
TCGA.02.0064,1
TCGA.02.0069,2
TCGA.02.0071,1
TCGA.02.0074,1
TCGA.02.0075,1
TCGA.02.0080,2
TCGA.02.0083,1
TCGA.02.0085,2
TCGA.02.0086,1
TCGA.02.0089,1
TCGA.02.0099,1
TCGA.02.0102,1
TCGA.02.0107,2
TCGA.02.0113,1
TCGA.02.0114,2
TCGA.02.0115,2
TCGA.06.0122,1
TCGA.06.0124,1
TCGA.06.0125,1
TCGA.06.0126,1
TCGA.06.0128,2
TCGA.06.0129,2
TCGA.06.0130,2
TCGA.06.0132,2
TCGA.06.0133,1
TCGA.06.0137,1
TCGA.06.0138,1
TCGA.06.0139,2
TCGA.06.0143,2
TCGA.06.0145,1
TCGA.06.0147,2
TCGA.06.0148,1
TCGA.06.0154,1
TCGA.06.0156,2
TCGA.06.0157,1
TCGA.06.0158,1
TCGA.06.0166,2
TCGA.06.0168,1
TCGA.06.0171,1
TCGA.06.0173,1
TCGA.06.0174,1
TCGA.06.0176,2
TCGA.06.0178,2
TCGA.06.0184,1
TCGA.06.0185,1
TCGA.06.0187,1
TCGA.06.0188,2
TCGA.06.0189,2
TCGA.06.0190,1
TCGA.06.0195,1
TCGA.06.0197,1
TCGA.06.0208,1
TCGA.06.0210,1
TCGA.06.0211,1
TCGA.06.0214,1
TCGA.06.0219,2
TCGA.06.0221,2
TCGA.06.0237,1
TCGA.06.0241,1
