sample_id,cluster
TCGA.02.0001,2
TCGA.02.0003,2
TCGA.02.0006,2
TCGA.02.0007,2
TCGA.02.0009,1
TCGA.02.0010,4
TCGA.02.0011,4
TCGA.02.0014,4
TCGA.02.0021,1
TCGA.02.0024,4
TCGA.02.0027,2
TCGA.02.0028,4
TCGA.02.0033,3
TCGA.02.0034,3
TCGA.02.0037,1
TCGA.02.0038,1
TCGA.02.0043,1
TCGA.02.0046,2
TCGA.02.0047,4
TCGA.02.0052,2
TCGA.02.0054,2
TCGA.02.0055,3
TCGA.02.0057,3
TCGA.02.0058,4
TCGA.02.0060,4
TCGA.02.0064,3
TCGA.02.0069,4
TCGA.02.0071,1
TCGA.02.0074,2
TCGA.02.0075,2
TCGA.02.0080,2
TCGA.02.0083,2
TCGA.02.0085,3
TCGA.02.0086,3
TCGA.02.0089,2
TCGA.02.0099,2
TCGA.02.0102,1
TCGA.02.0107,3
TCGA.02.0113,2
TCGA.02.0114,4
TCGA.02.0115,2
TCGA.06.0122,1
TCGA.06.0124,3
TCGA.06.0125,1
TCGA.06.0126,1
TCGA.06.0128,4
TCGA.06.0129,4
TCGA.06.0130,3
TCGA.06.0132,3
TCGA.06.0133,2
TCGA.06.0137,1
TCGA.06.0138,2
TCGA.06.0139,3
TCGA.06.0143,3
TCGA.06.0145,1
TCGA.06.0147,3
TCGA.06.0148,1
TCGA.06.0154,3
TCGA.06.0156,2
TCGA.06.0157,2
TCGA.06.0158,1
TCGA.06.0166,3
TCGA.06.0168,2
TCGA.06.0171,2
TCGA.06.0173,2
TCGA.06.0174,2
TCGA.06.0176,3
TCGA.06.0178,4
TCGA.06.0184,3
TCGA.06.0185,1
TCGA.06.0187,2
TCGA.06.0188,2
TCGA.06.0189,3
TCGA.06.0190,3
TCGA.06.0195,2
TCGA.06.0197,3
TCGA.06.0208,2
TCGA.06.0210,2
TCGA.06.0211,1
TCGA.06.0214,2
TCGA.06.0219,3
TCGA.06.0221,4
TCGA.06.0237,2
TCGA.06.0241,2
