Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__detection of chemical stimulus involved in sensory perception of smell (GO:0050911),-0.4991921750141915,-1.9606397118724004,0.0,0.0,0.0,20/20,50.13%,OR10R2;OR6K2;OR4E2;OR2A25;OR10T2;OR6N2;OR1K1;OR6K6;GPR148;OR10J3;OR10K2;OR6K3;OR2A7;OR10K1;OR12D3;OR10J1;OR2A4;OR10Z1;OR13G1;OR12D2
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.7472710715140904,1.8602704532865018,0.0,0.001998784475616826,0.002,81/113,14.19%,PABPC1;RNPS1;RPL12;RPS11;RPS15A;RPS4Y1;RPS6;RPL14;RPLP0;RPL11;RPS2;RPSA;RPL36;RPS10;RPL27A;EIF4G1;RPL5;RPS7;RPS16;RPS5;RPS14;RPS23;UBA52;RPS3;RPS8;GSPT1;RPS4X;RPL29;RPL9;NCBP2;RPLP2;RPS13;PPP2CA;RPS9;RPL35A;RPS19;RPL6;NCBP1;RPL24;RPL15;RPL7A;RPS25;RPL8;RPL30;RPS28;RPL3;RPS27A;RPS17;RPL17;RPL23A;RBM8A;RPS27;RPL10A;EIF3E;RPS3A;RPL37A;RPS18;RPL31;RPL19;RPS29;RPL7;RPL18;RPL4;RPL13A;RPS15;RPL38;PPP2R2A;RPS12;RPS20;RPL23;RPS24;RPL10;PPP2R1A;RPL18A;UPF1;RPL21;RPL35;ETF1;GSPT2;RPL34;RPS21
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.7530326690325222,1.8584064044480266,0.0,0.000999392237808413,0.002,69/90,14.19%,RPL12;RPS11;SEC61A1;RPS15A;RPS4Y1;RPS6;RPL14;RPLP0;RPL11;RPS2;RPSA;RPL36;RPS10;RPL27A;RPL5;RPS7;RPS16;RPS5;RPS14;RPS23;UBA52;RPS3;RPS8;RPS4X;RPL29;RPL9;SEC61A2;RPLP2;RPS13;RPS9;RPL35A;RPS19;RPL6;RPL24;RPL15;RPL7A;RPS25;RPL8;RPL30;RPS28;RPL3;RPS27A;RPS17;RPL17;RPL23A;RPS27;RPL10A;RPS3A;RPL37A;RPS18;RPL31;RPL19;RPS29;RPL7;RPL18;RPL4;RPL13A;RPS15;RPL38;RPS12;RPS20;RPL23;RPS24;RPL10;RPL18A;RPL21;RPL35;RPL34;RPS21
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),0.7481305106927182,1.8545109060909584,0.0,0.0009993922378084131,0.003,72/93,14.19%,RPL12;RPS11;RPS15A;RPS6;RPL14;RPLP0;RPL11;RPS2;RPSA;RPL36;RPS10;RPL27A;RPL5;RPS7;RPS16;RPS5;RPS14;RPS23;UBA52;RPS3;RPS8;GSPT1;RPS4X;RPL29;RPL9;RPS13;RPS9;RPL35A;RPS19;RPL6;RPL24;RPL15;RPL7A;RPS25;RPL8;RPL30;RPS28;RPL3;RPS27A;RPS17;RPL17;RPL23A;EIF4A1;RPS27;RPL10A;RPS3A;RPL37A;RPS18;RPL31;RPL19;EIF4A2;RPS29;RPL7;RPL18;RPL4;RPL13A;RPS15;RPL38;RPS12;RPS20;RPL23;EIF2B3;RPS24;RPL10;RPL18A;DRG1;RPL21;RPL35;ETF1;GSPT2;RPL34;RPS21
prerank,GO_Biological_Process_2021__regulation of NMDA receptor activity (GO:2000310),0.8061015356564598,1.8509543147411418,0.0,0.000999392237808413,0.004,27/32,15.52%,DLG4;DLG1;DLG2;DLG3;NEFL;APP;CAMK2A;GRIA4;CRH;GRIN2B;MEF2C;CAMK2B;GRIN1;LRRC7;PTK2B;CAPN1;GRIN2A;CRHBP;GRIA1;ACTN2;GRIA2;MAPK8IP2;EPHB2;GRIA3;IFNG;SLC6A9;CCL2
prerank,GO_Biological_Process_2021__Fc receptor signaling pathway (GO:0038093),0.7397423908046181,1.8457756676412245,0.0,0.0007995137902467304,0.004,74/112,12.68%,CALM1;GRB2;RAC1;SKP1;MAPK1;PPP3CA;PAK1;MAPK3;PDPK1;TRAF6;JUN;PSMA5;LYN;PIK3R1;BTK;PPP3R1;PLCG1;PSMD14;MAPK9;RELA;PPP3CB;PAK2;PSMD2;MAPK8;PSMA2;PSMB4;MAPK10;KIT;SHC1;CUL1;SOS1;PSMD8;VAV3;PSMA6;PSMD6;PSMC6;PSMA3;PSMC3;SYK;NFKB1;PSMD4;PSMB2;PSMA7;PIK3CA;PSMC5;PSMB1;PSMC2;PSMD7;PSMA4;IKBKB;PSMC1;MAP3K7;IKBKG;PSMD12;PSMD1;PSMB9;MAP2K7;PRKCQ;PSMB7;PSMA1;TAB2;BTRC;VAV1;GRAP2;FOS;PSMD13;VAV2;PLCG2;PSMD11;PIK3CB;MAP2K4;FBXW11;PSMC4;PSMB3
prerank,GO_Biological_Process_2021__Fc-epsilon receptor signaling pathway (GO:0038095),0.7352252659057558,1.8330890231473322,0.0,0.0006662614918722754,0.004,73/111,12.68%,CALM1;GRB2;RAC1;SKP1;MAPK1;PPP3CA;PAK1;MAPK3;PDPK1;TRAF6;JUN;PSMA5;LYN;PIK3R1;BTK;PPP3R1;PLCG1;PSMD14;MAPK9;RELA;PPP3CB;PAK2;PSMD2;MAPK8;PSMA2;PSMB4;MAPK10;SHC1;CUL1;SOS1;PSMD8;VAV3;PSMA6;PSMD6;PSMC6;PSMA3;PSMC3;SYK;NFKB1;PSMD4;PSMB2;PSMA7;PIK3CA;PSMC5;PSMB1;PSMC2;PSMD7;PSMA4;IKBKB;PSMC1;MAP3K7;IKBKG;PSMD12;PSMD1;PSMB9;MAP2K7;PRKCQ;PSMB7;PSMA1;TAB2;BTRC;VAV1;GRAP2;FOS;PSMD13;VAV2;PLCG2;PSMD11;PIK3CB;MAP2K4;FBXW11;PSMC4;PSMB3
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),0.7347141105773798,1.8147929476425535,0.0,0.0008566219181214969,0.006,72/94,16.91%,RPL12;RPS11;SEC61A1;RPS15A;RPS4Y1;RPS6;RPL14;RPLP0;RPL11;RPS2;RPSA;RPL36;RPS10;RPL27A;RPL5;RPS7;RPS16;RPS5;RPS14;RPS23;UBA52;RPS3;RPS8;RPS4X;RPL29;RPL9;RPLP2;RPS13;RPS9;RPL35A;RPS19;RPL6;RPL24;RPL15;RPL7A;RPS25;RPL8;RPL30;RPS28;RPL3;RPS27A;RPS17;RPL17;RPL23A;RPS27;RPL10A;RPS3A;RPL37A;RPS18;RPL31;RPL19;RPS29;RPL7;RPL18;RPL4;RPL13A;RPS15;RPL38;RPS12;RPS20;RPL23;RPS24;RPL10;RPL18A;RPL21;RPL35;RPL34;RPS21;SEC63;SEC62;RPL13;TRAM1
prerank,GO_Biological_Process_2021__receptor clustering (GO:0043113),0.7850766981075816,1.8059897166542462,0.0,0.0007495441783563097,0.006,14/28,6.82%,DLG4;DLG1;DLG2;NRXN1;DLG3;DVL1;MAGI2;ITGB2;PICK1;FLNA;LRRC7;ITGB7;ITGA4;THY1
prerank,GO_Biological_Process_2021__regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882),0.800304428622079,1.7966888578373321,0.0,0.0006662614918722754,0.006,13/21,8.20%,CALM1;PRKACA;CALM2;CALM3;FKBP1B;RYR2;ATP1B1;ATP2A2;DMD;SLC8A1;ANK2;CACNA1C;GSTO1
