id,biomni_accuracy,biomni_completion,biomni_time_seconds,biomni_input_tokens,biomni_output_tokens,stella_accuracy,stella_completion,stella_time_seconds,stella_input_tokens,stella_output_tokens,toolsgenie_accuracy,toolsgenie_completion,toolsgenie_time_seconds,toolsgenie_input_tokens,toolsgenie_output_tokens,toolsgenie_doubao_avg_similarity,toolsgenie_doubao_equivalent,toolsgenie_doubao_completion,toolsgenie_doubao_input_tokens,toolsgenie_doubao_output_tokens,toolsgenie_doubao_duration_seconds,toolsgenie_doubao_exit_code,toolsgenie_doubao_timed_out,toolsgenie_glm_avg_similarity,toolsgenie_glm_equivalent,toolsgenie_glm_completion,toolsgenie_glm_file_count,toolsgenie_glm_success_count,toolsgenie_glm_errors,toolsgenie_glm_input_tokens,toolsgenie_glm_output_tokens,toolsgenie_glm_duration_seconds,toolsgenie_glm_exit_code,toolsgenie_glm_timed_out,difficulty,glm2_agent,glm2_avg_similarity,glm2_equivalent,glm2_completion,glm2_file_count,glm2_success_count,glm2_errors,glm2_input_tokens,glm2_output_tokens,glm2_duration_seconds,glm2_exit_code,glm2_timed_out
a-1-1,1.0,1,56.850091,30717.0,1903.0,1.0,1,70.255322,139613.0,6076.0,1.0,1,29.620826,9480.0,1194.0,1.0,1,1,8572.0,4209.0,126.30032,0,False,1.0,1,1,1,1,,8161,3769,71.259462,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,8089,5692,95.123888,0,FALSE
a-1-10,0.77439128647618,1,55.642202,30122.0,2044.0,1.0,1,80.26067,242892.0,8737.0,0.9989548192771084,1,52.840381,25355.0,2351.0,1.0,1,1,8955.0,3443.0,95.696072,0,False,0.0,0,1,1,1,,9188,4079,77.117793,0,FALSE,medium,toolsgenie,0.0,0,1,1,1,,20672,5773,144.532788,0,FALSE
a-1-11,1.0,1,81.061189,90358.0,3700.0,0.0,1,78.654609,204242.0,7641.0,1.0,1,126.401472,74780.0,6322.0,1.0,1,1,28361.0,10187.0,236.58415,0,False,1.0,1,1,1,1,,30046,15255,639.909982,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,23733,7298,166.568863,0,FALSE
a-1-12,1.0,1,47.644699,31406.0,2172.0,1.0,1,51.244442,45790.0,4192.0,1.0,1,49.257667,21745.0,2368.0,1.0,1,1,17613.0,6862.0,158.732934,0,False,1.0,1,1,1,1,,28642,7528,160.799378,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,19054,5861,119.310295,0,FALSE
a-1-13,1.0,1,70.865793,61511.0,3590.0,0.0,1,53.648165,52927.0,5075.0,1.0,1,96.277088,78099.0,5659.0,1.0,1,1,9797.0,4894.0,116.307292,0,False,1.0,1,1,1,1,,31473,9336,233.690959,0,FALSE,medium,toolsgenie,1.0,1,1,1,1,,34272,9117,531.918291,0,FALSE
a-1-14,0.0,1,78.865089,46028.0,3812.0,0.0,1,88.462769,217529.0,11402.0,0.0,1,87.192038,46593.0,4034.0,0.0,0,1,25012.0,9272.0,221.580062,0,False,0.0,0,1,1,1,,45629,14733,444.929129,0,FALSE,medium,toolsgenie,0.0,0,1,1,1,,41813,8459,182.982375,0,FALSE
a-1-15,1.0,1,55.448583,30978.0,2228.0,1.0,1,72.658957,364581.0,9936.0,1.0,1,54.849522,28155.0,3266.0,1.0,1,1,31942.0,9341.0,214.989761,0,False,1.0,1,1,1,1,,21726,5816,104.334728,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,20437,4853,95.50444,0,FALSE
a-1-2,1.0,1,64.061896,29446.0,2292.0,1.0,1,59.249845,245398.0,6479.0,1.0,1,33.426738,10151.0,1271.0,1.0,1,1,8601.0,3137.0,98.490686,0,False,,0,0,1,0,Reference file is not valid: Tabix index file validation failed: file `/mnt/data/lengyang/youjia_project/autoba/test_babench/tasks/a-1-2/data/A375_WGS_WMG.cnv.vcf.gz` not found,8058,2844,57.053739,0,FALSE,low,toolsgenie,,0,1,1,0,Reference file is not valid: Tabix index file validation failed: file `/mnt/data/lengyang/youjia_project/autoba/test_babench/tasks2/a-1-2/data/A375_WGS_WMG.cnv.vcf.gz` not found,8300,1959,51.279812,0,FALSE
a-1-4,1.0,1,64.46198,34076.0,2126.0,1.0,1,55.846976,114097.0,6263.0,1.0,1,54.466952,27353.0,2877.0,1.0,1,1,12263.0,6724.0,168.728465,0,False,1.0,1,1,1,1,,9024,2807,58.454824,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,8966,2761,59.274064,0,FALSE
a-1-5,0.0,1,57.846436,86226.0,1942.0,1.0,1,74.250421,253192.0,7128.0,1.0,1,62.366127,24794.0,2494.0,1.0,1,1,25180.0,12143.0,359.486473,0,False,0.0,0,0,1,0,Candidate file not found: None,13218,4079,107.310857,0,FALSE,low,toolsgenie,1.0,1,1,1,1,,39320,13142,234.852352,0,FALSE
