Sample	Cluster
Sample_1	2
Sample_2	1
Sample_3	1
Sample_4	0
Sample_5	1
Sample_6	1
Sample_7	1
Sample_8	2
Sample_9	1
Sample_10	2
Sample_11	0
Sample_12	2
Sample_13	0
Sample_14	1
Sample_15	2
Sample_16	2
Sample_17	2
Sample_18	0
Sample_19	0
Sample_20	1
Sample_21	0
Sample_22	0
Sample_23	2
Sample_24	1
Sample_25	2
Sample_26	2
Sample_27	0
Sample_28	2
Sample_29	1
Sample_30	0
Sample_31	0
Sample_32	2
Sample_33	1
Sample_34	0
Sample_35	0
Sample_36	1
Sample_37	2
Sample_38	2
Sample_39	0
Sample_40	0
Sample_41	0
Sample_42	1
Sample_43	1
Sample_44	1
Sample_45	0
Sample_46	1
Sample_47	2
Sample_48	0
Sample_49	0
Sample_50	1
Sample_51	0
Sample_52	2
Sample_53	1
Sample_54	2
Sample_55	1
Sample_56	0
Sample_57	1
Sample_58	2
Sample_59	1
Sample_60	2
Sample_61	0
Sample_62	1
Sample_63	2
Sample_64	2
Sample_65	1
Sample_66	2
Sample_67	2
Sample_68	2
Sample_69	0
Sample_70	1
Sample_71	1
Sample_72	1
Sample_73	0
Sample_74	0
Sample_75	2
Sample_76	0
Sample_77	2
Sample_78	2
Sample_79	0
Sample_80	0
Sample_81	1
Sample_82	0
Sample_83	2
Sample_84	1
Sample_85	2
Sample_86	0
Sample_87	1
Sample_88	1
Sample_89	2
Sample_90	0
