chr1,base1,strand1,chr2,base2,strand2,junction_type,read_name
chr9,130854100,-,chr22,23290410,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:1:1716:17840
chrM,10744,-,chrM,14106,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:76:2954:4125
chrM,4909,+,chrM,2253,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:112:5420:3022
chrM,8537,+,chrM,2286,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:59:10449:13717
chrM,7812,-,chr7,128865591,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:64:1389:7424
chrM,8927,-,chr19,48615878,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:61:8879:9105
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:62:12074:6986
chrM,5353,-,chr12,6537324,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:82:8922:20528
chrM,12554,+,chrM,10943,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:111:15577:10225
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:88:1794:10786
chrM,12960,+,chrM,8693,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:95:19112:1477
chrM,6542,-,chr17,41689047,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:1:18074:16255
chrM,9117,+,chrM,5389,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:112:19313:15405
chrM,1687,-,chr19,48615876,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:105:4596:11180
chrM,13989,+,chrM,2280,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:4650:15257
chrM,8450,-,chrM,9101,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:5921:9164
chrM,13953,+,chrM,9627,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:6242:16121
chrM,11202,-,chrM,13028,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:6633:15489
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:2:7358:11098
chrM,8674,+,chrM,8386,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:8896:16721
chrM,8927,-,chrM,13940,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:2:8970:10137
chrM,10746,-,chrM,14114,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:115:13647:9551
chr22,23290367,+,chr9,130854074,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:11696:6481
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:2:12716:10021
chrM,8629,+,chrM,7110,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:2:14976:11989
chrM,15867,+,chrM,2312,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:67:10457:7349
chrM,10925,-,chrM,14106,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:96:17211:3743
chrM,13604,+,chrM,11554,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:3:6646:1121
chrM,2379,-,chrM,12430,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:3:7665:19040
chr9,130854071,-,chr22,23290406,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:3:8721:12652
chrM,6542,-,chr17,41689047,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:3:10190:9521
chr9,130854089,-,chr22,23290414,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:90:10772:5932
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:4:2808:9886
chrM,13944,+,chrM,9578,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:62:14078:5662
chrM,1685,-,chrM,15321,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:93:9814:6645
chrM,5947,-,chrM,8677,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:4:12887:13213
chrM,10910,-,chrM,13779,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:4:15837:9427
chrM,10838,-,chrM,13257,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:107:4461:19457
chrM,9426,-,chrM,14055,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:112:15155:19192
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:5:7969:10116
chrM,8682,+,chrM,8410,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:64:2061:14437
chrM,2241,-,chrM,13754,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:5:9794:19858
chr12,6537941,+,chrM,5371,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:108:2389:17660
chrM,14004,+,chrM,6340,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:5:19643:4059
chrM,6001,-,chrM,9122,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:6:5545:3292
chrM,8393,-,chrM,8762,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:114:1763:20573
chrM,13940,+,chrM,8939,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:6:7524:1225
chrM,13715,+,chrM,5384,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:66:12081:9919
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:6:12118:18249
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:6:14324:8444
chrM,7135,-,chrM,9117,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:76:9513:13555
chrM,12943,+,chrM,1688,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:103:15065:18347
chr4,24576494,-,chrM,12016,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:6:18871:11918
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:107:18096:3633
chrM,13951,+,chrM,8656,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:7:1337:19004
chrM,9297,-,chrM,14123,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:7:3798:18230
chrM,4742,+,chrM,2393,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:7:7907:8958
chrM,8666,+,chrM,8364,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:109:15212:15482
chrM,1675,-,chrM,12957,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:7:9711:6352
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:70:5938:10223
chrM,2228,-,chrM,13950,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:92:5411:2820
chrM,8927,-,chr19,48615878,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:103:9213:7222
chr6,31651676,-,chr6,31865766,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:7:17493:3277
