response	celltype	term	estimate	statistic	p.value
cg10543797	overall	disease	-4612575.950086594	-0.0013289859931878802	0.9989400357460139
cg10543797	CD4.	CD4.	684094395.3516397	0.31504168354983086	0.7528323737072392
cg10543797	CD8.	CD8.	684094395.3058577	0.31504168352870904	0.7528323737232687
cg10543797	mono	mono	684094395.3434925	0.3150416835463287	0.752832373709897
cg10543797	Bcells	Bcells	684094395.3926907	0.31504168356859136	0.7528323736930018
cg10543797	NK	NK	684094395.3800154	0.31504168356268275	0.7528323736974859
cg10543797	Nue	Nue	684094395.3448219	0.31504168354649775	0.7528323737097687
cg10543797	Eos	Eos	684094395.2816839	0.3150416835171087	0.7528323737320723
cg10543797	CD4.	disease:CD4.	4612575.957386017	0.0013289859952913005	0.9989400357443361
cg10543797	CD8.	disease:CD8.	4612576.013705254	0.0013289860115177356	0.9989400357313944
cg10543797	mono	disease:mono	4612575.884437561	0.0013289859742745443	0.9989400357610986
cg10543797	Bcells	disease:Bcells	4612576.001272202	0.0013289860079352509	0.9989400357342517
cg10543797	NK	disease:NK	4612575.936091423	0.001328985989155376	0.99894003574923
cg10543797	Nue	disease:Nue	4612575.9421367645	0.001328985990897194	0.9989400357478408
cg10543797	Eos	disease:Eos	4612575.954582214	0.0013289859944820444	0.9989400357449816
cg22718169	overall	disease	-618049909.4133053	-0.2008519319821783	0.8408779679695613
cg22718169	CD4.	CD4.	-568630375.3711748	-0.2953640508001574	0.7678112900455221
cg22718169	CD8.	CD8.	-568630375.6215134	-0.29536405093015516	0.767811289946271
cg22718169	mono	mono	-568630375.3423452	-0.29536405078541667	0.7678112900567762
cg22718169	Bcells	Bcells	-568630375.4111567	-0.29536405082078976	0.7678112900297696
cg22718169	NK	NK	-568630375.5155487	-0.2953640508749473	0.7678112899884212
cg22718169	Nue	Nue	-568630375.375782	-0.2953640508023692	0.7678112900438334
cg22718169	Eos	Eos	-568630375.2687931	-0.2953640507465029	0.7678112900864863
cg22718169	CD4.	disease:CD4.	618049909.3601446	0.2008519319649467	0.8408779679830299
cg22718169	CD8.	disease:CD8.	618049909.5275545	0.2008519320192916	0.8408779679405527
cg22718169	mono	disease:mono	618049909.4662104	0.20085193199961515	0.8408779679559323
cg22718169	Bcells	disease:Bcells	618049909.346818	0.20085193196051937	0.8408779679864904
cg22718169	NK	disease:NK	618049909.435813	0.20085193198946502	0.8408779679638658
cg22718169	Nue	disease:Nue	618049909.4036798	0.20085193197902557	0.8408779679720255
cg22718169	Eos	disease:Eos	618049909.3413801	0.20085193195863432	0.8408779679879638
cg26398836	overall	disease	788479018.863222	0.3360484323300263	0.7369441435589621
cg26398836	CD4.	CD4.	1401843218.239757	0.9549624413459057	0.3399561227950818
cg26398836	CD8.	CD8.	1401843218.1922734	0.9549624413134433	0.33995612281148613
cg26398836	mono	mono	1401843218.2031791	0.9549624413217455	0.3399561228072907
cg26398836	Bcells	Bcells	1401843218.1948047	0.9549624413148454	0.3399561228107775
cg26398836	NK	NK	1401843218.2137496	0.9549624413275349	0.33995612280436516
cg26398836	Nue	Nue	1401843218.2042384	0.9549624413211237	0.3399561228076049
cg26398836	Eos	Eos	1401843218.117493	0.9549624412610835	0.3399561228379452
cg26398836	CD4.	disease:CD4.	-788479018.8659992	-0.3360484323312842	0.736944143558014
cg26398836	CD8.	disease:CD8.	-788479018.8864645	-0.33604843233990705	0.7369441435515146
cg26398836	mono	disease:mono	-788479018.9303138	-0.3360484323590289	0.7369441435371019
cg26398836	Bcells	disease:Bcells	-788479018.9165698	-0.336048432352676	0.7369441435418902
cg26398836	NK	disease:NK	-788479018.8330302	-0.33604843231711223	0.7369441435686958
cg26398836	Nue	disease:Nue	-788479018.8494762	-0.33604843232412657	0.7369441435634088
cg26398836	Eos	disease:Eos	-788479018.797694	-0.33604843230181397	0.7369441435802263
cg14656329	overall	disease	-3216546586.9047976	-0.3524759479653479	0.724597034159628
cg14656329	CD4.	CD4.	507398555.70197964	0.08887180110503126	0.9292115099843934
cg14656329	CD8.	CD8.	507398555.83749866	0.08887180112875692	0.9292115099655451
cg14656329	mono	mono	507398555.9939251	0.08887180115623654	0.9292115099437147
cg14656329	Bcells	Bcells	507398555.7281561	0.08887180110957536	0.9292115099807836
cg14656329	NK	NK	507398555.78566074	0.08887180111962728	0.929211509972798
cg14656329	Nue	Nue	507398555.6670122	0.08887180109885211	0.9292115099893024
cg14656329	Eos	Eos	507398555.51296043	0.08887180107178148	0.9292115100108079
cg14656329	CD4.	disease:CD4.	3216546586.9442806	0.3524759479697524	0.724597034156327
cg14656329	CD8.	disease:CD8.	3216546586.8108587	0.3524759479550275	0.7245970341673629
cg14656329	mono	disease:mono	3216546586.656394	0.3524759479385554	0.7245970341797081
cg14656329	Bcells	disease:Bcells	3216546586.8901634	0.3524759479636529	0.7245970341608985
cg14656329	NK	disease:NK	3216546586.8627653	0.3524759479606933	0.7245970341631167
cg14656329	Nue	disease:Nue	3216546586.94685	0.3524759479699128	0.7245970341562069
cg14656329	Eos	disease:Eos	3216546587.016879	0.35247594797733184	0.7245970341506465
cg25320798	overall	disease	1699908651.1470137	0.34575320935307347	0.7296414586053179
