chr1,base1,strand1,chr2,base2,strand2,junction_type,read_name
chr9,130854100,-,chr22,23290410,-,-1,0
chrM,10744,-,chrM,14106,-,-1,0
chrM,4909,+,chrM,2253,+,0,6
chrM,8537,+,chrM,2286,+,-1,0
chrM,7812,-,chr7,128865591,-,0,7
chrM,8927,-,chr19,48615878,+,0,6
chr9,130854063,-,chr22,23290414,-,2,0
chrM,5353,-,chr12,6537324,-,-1,0
chrM,12554,+,chrM,10943,+,-1,0
chr9,131199016,+,chr22,16808084,-,1,0
chrM,12960,+,chrM,8693,+,-1,0
chrM,6542,-,chr17,41689047,-,0,4
chrM,9117,+,chrM,5389,+,-1,0
chrM,13989,+,chrM,2280,+,-1,0
chrM,8450,-,chrM,9101,-,-1,0
chrM,13953,+,chrM,9627,+,-1,0
chrM,11202,-,chrM,13028,-,-1,0
chr9,130854063,-,chr22,23290414,-,2,0
chrM,8674,+,chrM,8386,+,-1,0
chrM,8927,-,chrM,13940,-,0,6
chrM,10746,-,chrM,14114,-,-1,0
chr22,23290367,+,chr9,130854074,+,-1,0
chrM,8629,+,chrM,7110,+,-1,0
chrM,15867,+,chrM,2312,+,-1,0
chrM,10925,-,chrM,14106,-,-1,0
chrM,13604,+,chrM,11554,+,-1,0
chrM,2379,-,chrM,12430,-,-1,0
chr9,130854071,-,chr22,23290406,-,-1,0
chrM,6542,-,chr17,41689047,-,0,4
chr9,130854089,-,chr22,23290414,-,-1,0
chrM,13944,+,chrM,9578,+,0,9
chrM,1685,-,chrM,15321,-,0,3
chrM,5947,-,chrM,8677,-,-1,0
chrM,10910,-,chrM,13779,-,-1,0
chrM,10838,-,chrM,13257,-,-1,0
chrM,9426,-,chrM,14055,-,-1,0
chrM,8682,+,chrM,8410,+,-1,0
chrM,2241,-,chrM,13754,-,-1,0
chr12,6537941,+,chrM,5371,+,-1,0
chrM,14004,+,chrM,6340,+,2,1
chrM,6001,-,chrM,9122,-,-1,0
chrM,8393,-,chrM,8762,-,-1,0
chrM,13940,+,chrM,8939,+,-1,0
chrM,13715,+,chrM,5384,+,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chr22,16808084,+,chr9,131199016,-,2,3
chrM,7135,-,chrM,9117,-,-1,0
chrM,12943,+,chrM,1688,+,-1,0
chrM,13951,+,chrM,8656,+,-1,0
chrM,9297,-,chrM,14123,-,-1,0
chrM,4742,+,chrM,2393,+,-1,0
chrM,8666,+,chrM,8364,+,0,4
chrM,1675,-,chrM,12957,-,0,5
chrM,2228,-,chrM,13950,-,-1,0
chr6,31651676,-,chr6,31865766,-,-1,0
chr16,400411,+,chrM,1688,+,0,5
chrM,7118,-,chrM,13847,-,-1,0
chrM,14040,+,chrM,7140,+,-1,0
chrM,2699,-,chrM,4709,-,-1,0
chrM,8673,+,chrM,5952,+,-1,0
