response	celltype	term	estimate	statistic	p.value
cg10543797	CD4.	1	1.49833158081433	15.543108230272	1.23678735248158e-46
cg10543797	CD8.	1	1.32902467386319	14.5419882207051	9.5343611359904e-42
cg10543797	mono	1	1.18928082579185	6.92633842547942	1.02980343125309e-11
cg10543797	Bcells	1	1.80752977563932	7.28675347472907	9.12140354804023e-13
cg10543797	NK	1	1.62512404229112	13.4896531945777	8.62692748141194e-37
cg10543797	Nue	1	1.35157120999898	56.2578508642145	1.32090812860074e-253
cg10543797	Eos	1	0.996020103137091	5.83795334761468	8.30112094685868e-09
cg10543797	CD4.	disease	0.000710996866497371	0.464888408621361	0.642166823074517
cg10543797	CD8.	disease	0.00202345638105828	1.43337585372374	0.152230533581993
cg10543797	mono	disease	-0.000916679897473459	-0.921044864265774	0.357368188936131
cg10543797	Bcells	disease	0.000349613078056493	0.504751530032521	0.613904173891419
cg10543797	NK	disease	-0.000503512039994355	-0.467852695222419	0.640046515572289
cg10543797	Nue	disease	-0.00554752337324327	-0.854552987984599	0.393113023193691
cg10543797	Eos	disease	0.000277958386135137	0.474267741551853	0.635468026030437
cg10543797	NA	sexF	-0.04148729791649	-3.93650769016748	9.15805335463394e-05
cg10543797	NA	age	-0.000302848957941067	-0.746274392282309	0.455771077309089
cg10543797	NA	smoking_current	-0.0053198714491156	-0.430406378844464	0.667042506426302
cg10543797	NA	smoking_ex	-0.0192049556412782	-1.58481099444473	0.113494902360158
cg10543797	NA	smoking_occasional	0.00109412642844283	0.0626558360982514	0.95005979800951
cg22718169	CD4.	1	2.18087220020907	15.4730859629199	2.74843951854164e-46
cg22718169	CD8.	1	1.39056345741723	16.1390728576834	1.29617061464113e-49
cg22718169	mono	1	2.6811109477079	5.98908509163957	3.47221705591786e-09
cg22718169	Bcells	1	1.5254933385597	8.14110031885145	1.96426602544816e-15
cg22718169	NK	1	1.39056345741723	14.5951736516196	5.29262410090812e-42
cg22718169	Nue	1	2.35110218788785	55.1955393699701	4.14409757837883e-249
cg22718169	Eos	1	2.6811109477079	5.86012389047224	7.31344466129498e-09
