# covariate effects are not reported due to the corrupted input covariates file
response	celltype	term	estimate	statistic	p.value
cg10543797	CD4.	disease:CD4.	0.03509735385942979	1.2278576331341156	0.21994214664338252
cg10543797	CD8.	disease:CD8.	0.08617486818290226	2.7427422372933825	0.006259672050901205
cg10543797	mono	disease:mono	-0.058171112159868574	-0.8750158341858867	0.38188651855951594
cg10543797	Bcells	disease:Bcells	0.11015493430965594	1.8212008972549993	0.0690330681944645
cg10543797	NK	disease:NK	-0.00040839699825016146	-0.010681358661149443	0.9914809282851844
cg10543797	Nue	disease:Nue	-0.025144015946318383	-1.7022717414388522	0.08917964918415085
cg10543797	Eos	disease:Eos	0.0219597018241342	0.3497257500469544	0.7266571146694445
cg22718169	CD4.	disease:CD4.	-0.09739365809587675	-3.2556979205102627	0.0011895111233327011
cg22718169	CD8.	disease:CD8.	0.0998641529223715	3.4053405953409723	0.0007012380801826776
cg22718169	mono	disease:mono	0.008900462295515697	0.1277132288214916	0.8984151796996385
cg22718169	Bcells	disease:Bcells	-0.1430179726472872	-2.2542455287937475	0.024510865745554986
cg22718169	NK	disease:NK	0.008671996560260846	0.2220047929916525	0.8243794580399115
cg22718169	Nue	disease:Nue	-0.018023019319078244	-1.2300382595704207	0.21912505218344439
cg22718169	Eos	disease:Eos	-0.013457260469368855	-0.20321107869309796	0.8390332617461662
cg26398836	CD4.	disease:CD4.	-0.02756766276804109	-1.4100762488651717	0.15899256646609894
cg26398836	CD8.	disease:CD8.	-0.03700724663886934	-1.731024957835285	0.08391895031986077
cg26398836	mono	disease:mono	-0.05772266848288926	-1.274974207858985	0.20277112634934572
cg26398836	Bcells	disease:Bcells	-0.0726458300789291	-1.7499925147782078	0.08058856520183813
cg26398836	NK	disease:NK	0.015150039494860608	0.5786536486056538	0.5630221159967777
cg26398836	Nue	disease:Nue	0.0194344212335165	1.9289573517755159	0.054168550566305894
cg26398836	Eos	disease:Eos	0.025639044757992918	0.5986580495112146	0.5496082228154983
cg14656329	CD4.	disease:CD4.	0.051668492172897956	0.6892054172996569	0.49093844910180484
cg14656329	CD8.	disease:CD8.	-0.10866212787577806	-1.3219225958747751	0.18665610619051173
cg14656329	mono	disease:mono	-0.2076639918658809	-1.1948197374118763	0.23259058280088873
cg14656329	Bcells	disease:Bcells	0.01845295431118904	0.11572294460095692	0.9079076440645613
cg14656329	NK	disease:NK	-0.07412422804525609	-0.7411620180578016	0.4588612467334898
cg14656329	Nue	disease:Nue	0.04718917298838697	1.2219813667546693	0.22215492361547698
cg14656329	Eos	disease:Eos	-0.03559776946766154	-0.21641608747693866	0.8287309134682683
cg25320798	CD4.	disease:CD4.	-0.006734231029910971	-0.16790258191286106	0.8667118260360154
cg25320798	CD8.	disease:CD8.	-0.01143877296852333	-0.25763807213013423	0.7967672882875887
cg25320798	mono	disease:mono	-0.19982728008527023	-2.142815348846531	0.032496343258019936
cg25320798	Bcells	disease:Bcells	0.11221898886616505	1.311373401992972	0.19019184202284853
cg25320798	NK	disease:NK	-0.035392665052122685	-0.6573805934661191	0.5111675115407031
cg25320798	Nue	disease:Nue	0.006842189611370581	0.32932445626560247	0.7420159001729816
cg25320798	Eos	disease:Eos	0.011816351711191993	0.13387331120561907	0.8935439394630305
cg21470600	CD4.	disease:CD4.	0.12824467400253714	1.53763534526191	0.12462144816279662
cg21470600	CD8.	disease:CD8.	0.26182426123834196	2.864450445407999	0.004311325897262492
cg21470600	mono	disease:mono	0.4370281014182675	2.062864943027197	0.039519690687366736
cg21470600	Bcells	disease:Bcells	0.37975250772803565	2.012731301094541	0.044552282586939405
cg21470600	NK	disease:NK	0.03636815411699955	0.3028501361882808	0.7621003752471991
cg21470600	Nue	disease:Nue	-0.013650762947476629	-0.3521784081245699	0.7248179223981557
cg21470600	Eos	disease:Eos	-0.3093880373934438	-1.567610330962372	0.11745579017782594
cg06719487	CD4.	disease:CD4.	-0.03535203589143337	-1.9346709008639797	0.053461620699057084
cg06719487	CD8.	disease:CD8.	-0.02851468744960505	-1.4078943686662213	0.15963749344306677
cg06719487	mono	disease:mono	0.03452302056670963	0.8083107317651665	0.4192056481041123
cg06719487	Bcells	disease:Bcells	0.031092237711381514	0.7971524781920872	0.4256517862194372
cg06719487	NK	disease:NK	0.012279898681530758	0.5009548951042991	0.6165714236631077
cg06719487	Nue	disease:Nue	0.01622608021611038	1.7092089371026151	0.08788665611195932
cg06719487	Eos	disease:Eos	-0.10078556419664994	-2.5083127312482043	0.012371883761840253
cg26797159	CD4.	disease:CD4.	0.038894053716495076	1.5068719886898225	0.13232632729909075
cg26797159	CD8.	disease:CD8.	0.0488032555011656	1.7380509333765795	0.08267251425201047
cg26797159	mono	disease:mono	0.028342518607595932	0.4717532684439572	0.6372602570692414
cg26797159	Bcells	disease:Bcells	0.04796911171937231	0.8732634778169523	0.3828400020559234
cg26797159	NK	disease:NK	0.04986699256003363	1.4484707276455626	0.1479646999864308
cg26797159	Nue	disease:Nue	-0.02844607034094527	-2.1622729735856487	0.030959028376691546
cg26797159	Eos	disease:Eos	0.046096211509901806	0.8161099275305828	0.4147344093792916
cg20945232	CD4.	disease:CD4.	-0.013973320281200857	-0.12990224978803286	0.8966837070508817
cg20945232	CD8.	disease:CD8.	0.17249211196485814	1.4575308985604758	0.1454498801002146
cg20945232	mono	disease:mono	-0.4691905132597594	-1.8852163847863033	0.05984369100645478
cg20945232	Bcells	disease:Bcells	-0.08396381834549174	-0.36788386422289276	0.7130788625533568
cg20945232	NK	disease:NK	0.09232670724341373	0.6414698567256021	0.5214422007498722
cg20945232	Nue	disease:Nue	-0.004664671166614879	-0.08371492622887405	0.9333087066605085
cg20945232	Eos	disease:Eos	-0.22566900805006135	-0.9556247557597001	0.33961494390812075
cg08164371	CD4.	disease:CD4.	-0.05800082971532107	-1.28738490917372	0.19841556300390567
cg08164371	CD8.	disease:CD8.	-0.03258673460306339	-0.654945177710374	0.512733333083017
cg08164371	mono	disease:mono	-0.0541861058891858	-0.5164321577074475	0.6057271816568167
cg08164371	Bcells	disease:Bcells	-0.144712312511424	-1.5095427895694946	0.13164308267673697
cg08164371	NK	disease:NK	0.03970342523985525	0.6588998004084491	0.5101920249207705
cg08164371	Nue	disease:Nue	0.015762974347986687	0.674566481304197	0.5001896139552128
cg08164371	Eos	disease:Eos	0.10877755171822388	1.0979196442696133	0.27264362947298965
cg13709618	CD4.	disease:CD4.	-0.014736502356443151	-0.23315474721489549	0.815714197303405
cg13709618	CD8.	disease:CD8.	0.008729652550772064	0.1252471409471753	0.9003663872204206
cg13709618	mono	disease:mono	0.1270666129064246	0.8649762823699347	0.38736896686158306
cg13709618	Bcells	disease:Bcells	-0.07112105505036462	-0.529024872751012	0.5969676960404292
cg13709618	NK	disease:NK	0.07203784761563987	0.8549303075769044	0.3929028033620219
cg13709618	Nue	disease:Nue	-0.0005353437994407469	-0.016411582747977205	0.9869110445741546
cg13709618	Eos	disease:Eos	0.1583195699515305	1.1410823965841905	0.2542532928379302
cg24360459	CD4.	disease:CD4.	0.011564369214976134	0.7698139680902271	0.44168821036331096
cg24360459	CD8.	disease:CD8.	-0.01523192506848739	-0.937276871620069	0.34896214296196326
cg24360459	mono	disease:mono	0.0325611463273993	0.9312190666828376	0.3520838755969852
cg24360459	Bcells	disease:Bcells	0.011686487819487657	0.3648076652027736	0.7153729163564478
cg24360459	NK	disease:NK	0.008027077055338831	0.3991087721218138	0.6899433459913149
cg24360459	Nue	disease:Nue	-0.008976825528141079	-1.1698983274938344	0.242468048320478
cg24360459	Eos	disease:Eos	0.013184221302513633	0.3998395077146089	0.68940528280236
cg06535675	CD4.	disease:CD4.	0.020129478805179377	0.9702219025808841	0.3322945719891941
cg06535675	CD8.	disease:CD8.	-0.01905454571731413	-0.8309583380021843	0.406300423313935
cg06535675	mono	disease:mono	-0.045186697552704186	-0.9375926117585058	0.3487999190577691
cg06535675	Bcells	disease:Bcells	0.03885656557855527	0.8801510123498301	0.3791008094968151
cg06535675	NK	disease:NK	-0.00972698788498489	-0.35090845507484525	0.7257700332867248
cg06535675	Nue	disease:Nue	0.00207354549297048	0.19264713473806028	0.8472951343647059
cg06535675	Eos	disease:Eos	-0.03238086902110603	-0.7096004639801214	0.47820483896366595
cg13848568	CD4.	disease:CD4.	0.014384533438907299	0.5704174882389331	0.5685904868850473
cg13848568	CD8.	disease:CD8.	0.007141339065296293	0.26050722797478415	0.794554540664834
cg13848568	mono	disease:mono	0.0421215793577513	0.7199308387148664	0.4718247815702086
cg13848568	Bcells	disease:Bcells	0.012237528090404425	0.2287184678758501	0.8191592393267626
cg13848568	NK	disease:NK	-0.023911387018903406	-0.7098214532986998	0.47806786266270074
cg13848568	Nue	disease:Nue	-0.011548404016759078	-0.894942018705454	0.37114732993293587
cg13848568	Eos	disease:Eos	0.05312069849952692	0.9671533214150436	0.3338249016742697
cg20149137	CD4.	disease:CD4.	0.003040546671470319	0.20564875764074703	0.8371292837022914
cg20149137	CD8.	disease:CD8.	0.010276124980401037	0.6285259190828257	0.5298789118851714
cg20149137	mono	disease:mono	-0.034325236131637904	-0.9958147698068638	0.31970844625010625
cg20149137	Bcells	disease:Bcells	-0.03859743869833206	-1.224100503394087	0.22135510284033674
cg20149137	NK	disease:NK	0.006798753476082078	0.342752598985683	0.7318947225233756
cg20149137	Nue	disease:Nue	-0.00556722587859259	-0.7296397170821582	0.46587167964607046
cg20149137	Eos	disease:Eos	0.02858450245738339	0.8773731748384386	0.3806061594431679
cg03341469	CD4.	disease:CD4.	-0.13540826342226503	-1.7266693508556392	0.0846992793658223
cg03341469	CD8.	disease:CD8.	-0.11880544638433319	-1.3936568202870698	0.1638946525200162
cg03341469	mono	disease:mono	-0.1852839010927523	-1.0132444242758525	0.31131813446704854
cg03341469	Bcells	disease:Bcells	-0.35281385728923204	-2.114789206508421	0.0348255807717047
cg03341469	NK	disease:NK	0.005501020041582644	0.05260122556424278	0.9580657029978705
cg03341469	Nue	disease:Nue	0.05641050404720327	1.4089048533875328	0.15933856508829158
cg03341469	Eos	disease:Eos	0.026154355164285277	0.15138235255992302	0.8797207924574537
cg07221518	CD4.	disease:CD4.	0.02439005931098434	0.7110399162100329	0.4773130062732336
cg07221518	CD8.	disease:CD8.	0.026352268666923	0.6954591744387314	0.4870146222277236
cg07221518	mono	disease:mono	-0.08202523703943843	-1.0224021296565613	0.30696864498481374
cg07221518	Bcells	disease:Bcells	0.15168274811023047	2.071992346267	0.03865753158562953
cg07221518	NK	disease:NK	0.04748220449224146	1.0346988948800375	0.3011919937672291
cg07221518	Nue	disease:Nue	-0.024318709265535948	-1.362566233473043	0.1734882729477803
cg07221518	Eos	disease:Eos	0.04080970063804007	0.5390068889985501	0.5900655309747953
cg15684811	CD4.	disease:CD4.	-0.01745353980582187	-0.8151711113109316	0.415271126992377
cg15684811	CD8.	disease:CD8.	-0.009103194100100522	-0.4005559110098428	0.6888779257136802
cg15684811	mono	disease:mono	-0.052600347209851996	-1.0553436383354513	0.29165788989835323
cg15684811	Bcells	disease:Bcells	-0.03044655564478902	-0.6681506533302299	0.5042731589846419
cg15684811	NK	disease:NK	0.0481726025828242	1.691931330214719	0.09113541560877163
cg15684811	Nue	disease:Nue	-0.00758626920874627	-0.6942641707442319	0.4877630948362025
cg15684811	Eos	disease:Eos	0.07369204298276713	1.5712999588205414	0.11659663699633502
cg22803724	CD4.	disease:CD4.	-0.001847831007036698	-0.04678278820311996	0.962700628718004
cg22803724	CD8.	disease:CD8.	-0.018546232276156125	-0.42671733539599344	0.6697256511971694
cg22803724	mono	disease:mono	0.12779818675348711	1.39257009881439	0.16422308126509053
cg22803724	Bcells	disease:Bcells	-0.0072589781774847545	-0.08631335542069894	0.9312437401623078
cg22803724	NK	disease:NK	0.02552280021554471	0.4828233217134859	0.6293827645632014
cg22803724	Nue	disease:Nue	-0.004016171816006053	-0.196445411800724	0.8443225823414338
cg22803724	Eos	disease:Eos	0.02720992916166026	0.3151250841692037	0.7527672029975478
cg15553397	CD4.	disease:CD4.	0.08205754186307261	2.028385774898792	0.042925637623796725
cg15553397	CD8.	disease:CD8.	0.05673544351428039	1.2767444941673685	0.20214560668332143
cg15553397	mono	disease:mono	0.2728420482224694	2.8541556973840403	0.00445173602058907
cg15553397	Bcells	disease:Bcells	-0.020657299449093825	-0.23471935993056472	0.8145000273838895
cg15553397	NK	disease:NK	0.03929311691636199	0.7148993053042326	0.4749263761061596
cg15553397	Nue	disease:Nue	-0.02600753913797697	-1.2705502024319273	0.20434049764180262
cg15553397	Eos	disease:Eos	-0.07180371720183784	-0.7959903101914485	0.42632649071381834
