response	cell_type	term	estimate	statistic	p.value
cg10543797	CD4.	(Intercept)	0.8089014524756234	176.40460274986933	0.0
cg10543797	CD4.	disease	-0.00577644743324123	-1.8024582071888777	0.0719371709455531
cg10543797	CD4.	sexF	-0.0069673981018770585	-4.163993402560533	3.5497383371367444e-05
cg10543797	CD4.	age	-2.4498193270489837e-05	-0.38073089236744495	0.7035275300440058
cg10543797	CD4.	smoking_current	-0.0016240673361564081	-0.8259959671102042	0.4091099163238543
cg10543797	CD4.	smoking_ex	-0.0033578517005327883	-1.7489961940709045	0.08076439819003163
cg10543797	CD4.	smoking_occasional	-0.00012643632881750627	-0.04573874392261038	0.9635325527596514
cg10543797	CD4.	CD4._proportion	0.010822206235699638	0.5726775016611089	0.5670614104838922
cg10543797	CD4.	disease:CD4._proportion	0.0367847302661682	1.297336739572433	0.1949763148414638
cg10543797	CD8.	(Intercept)	0.8137433853535257	179.66560819842095	0.0
cg10543797	CD8.	disease	-0.010235992052695006	-3.5097550438055305	0.0004795500612966493
cg10543797	CD8.	sexF	-0.006649982261571123	-3.9925405236214937	7.283780923968512e-05
cg10543797	CD8.	age	-2.3022545944493576e-05	-0.35820653349840825	0.720305235857843
cg10543797	CD8.	smoking_current	-0.001542259466001433	-0.7882727991307817	0.43082497817643606
cg10543797	CD8.	smoking_ex	-0.00360665115999054	-1.878005854050287	0.06082851274786521
cg10543797	CD8.	smoking_occasional	-0.0002243064735079173	-0.08130107248065863	0.9352275864235304
cg10543797	CD8.	CD8._proportion	-0.04038764361967979	-1.9176062193949228	0.05559957375368175
cg10543797	CD8.	disease:CD8._proportion	0.08930992471700946	2.859644756408748	0.004377411851453669
cg10543797	mono	(Intercept)	0.8128321870617198	154.63485669439783	0.0
cg10543797	mono	disease	0.0007067430895879266	0.14387201829314805	0.8856461930671511
cg10543797	mono	sexF	-0.007196275408818695	-4.256315196968315	2.3848596061774844e-05
cg10543797	mono	age	-2.1191714826830026e-05	-0.32814570476172056	0.7429073363502047
cg10543797	mono	smoking_current	-0.001321843107753064	-0.6738281399426367	0.5006604900019705
cg10543797	mono	smoking_ex	-0.0031964773713572905	-1.665743443969244	0.09624709192546178
cg10543797	mono	smoking_occasional	-2.222685660046176e-06	-0.0008043918424179896	0.9993584354207432
cg10543797	mono	mono_proportion	-0.040433759638222024	-0.8112279377341514	0.41753218491928523
cg10543797	mono	disease:mono_proportion	-0.04995375501998678	-0.7571897943118238	0.44921097103786944
cg10543797	Bcells	(Intercept)	0.8072763278624188	167.33739741698503	0.0
cg10543797	Bcells	disease	-0.009274628675587641	-2.2115960413042286	0.027342265931840047
cg10543797	Bcells	sexF	-0.006652933201702042	-4.0082310986391905	6.827416065241711e-05
cg10543797	Bcells	age	-2.111172143335569e-05	-0.32912093244761187	0.7421704632173249
cg10543797	Bcells	smoking_current	-0.00145637615296913	-0.7466740209934646	0.4555307527350333
cg10543797	Bcells	smoking_ex	-0.0033055110619044257	-1.7295720457756816	0.08418223094698209
cg10543797	Bcells	smoking_occasional	-0.00017701807208953533	-0.06421365558923746	0.9488198771505886
